Date,Open,High,Low,Close,Adj Close,Volume
2020-11-03,21821.5,21999.94921875,21671.349609375,21876.099609375,21829.361328125,49230
2020-11-04,21876.099609375,22077.05078125,21725.25,21910.349609375,21863.537109375,61879
2020-11-05,22050.0,22328.150390625,21810.0,22239.400390625,22191.884765625,82737
2020-11-06,22155.0,22378.900390625,21960.0,22053.05078125,22005.93359375,58031
2020-11-09,22280.0,22737.44921875,22059.80078125,22604.69921875,22556.404296875,67025
2020-11-10,22630.0,23230.0,22630.0,22762.80078125,22714.16796875,112826
2020-11-11,22813.0,23130.0,22430.0,22867.55078125,22818.693359375,82845
2020-11-12,23120.0,23624.0,22880.0,23441.599609375,23391.515625,178595
2020-11-13,23529.5,23645.19921875,23205.30078125,23435.5,23385.4296875,73676
2020-11-17,23525.80078125,24095.0,23400.0,23989.75,23938.49609375,87042
2020-11-18,23989.75,24134.69921875,23756.0,24069.25,24017.826171875,57487
2020-11-19,24000.0,24287.0,23503.599609375,23661.650390625,23611.095703125,67099
2020-11-20,23827.30078125,24010.94921875,23630.30078125,23948.69921875,23897.53125,50600
2020-11-23,24000.0,24598.94921875,23987.0,24465.30078125,24413.029296875,65833
2020-11-24,24550.0,24688.900390625,24067.150390625,24243.55078125,24191.75390625,66479
2020-11-25,24580.0,24695.94921875,23547.05078125,23698.80078125,23648.16796875,83059
2020-11-26,23949.0,24600.0,23700.0,24381.150390625,24329.05859375,74560
2020-11-27,24473.69921875,24529.05078125,23351.0,24306.349609375,24254.41796875,190961
2020-12-01,25555.0,25655.5,24549.400390625,24908.400390625,24855.18359375,95268
2020-12-02,24800.0,25043.69921875,24200.0,24635.69921875,24583.064453125,77649
2020-12-03,24785.0,25040.599609375,24702.349609375,24905.150390625,24851.939453125,57012
2020-12-04,24951.0,25335.0,24820.30078125,24912.849609375,24859.623046875,63298
2020-12-07,25000.0,25089.0,24724.0,24954.150390625,24900.8359375,39743
2020-12-08,24950.0,25289.94921875,24735.5,24775.75,24722.81640625,59029
2020-12-09,24890.0,24949.19921875,24351.0,24420.69921875,24368.5234375,67836
2020-12-10,24420.69921875,24499.94921875,23687.400390625,23758.099609375,23707.33984375,83757
2020-12-11,23780.0,23958.0,23585.05078125,23805.0,23754.140625,54705
2020-12-14,23810.0,23986.69921875,23652.0,23722.19921875,23671.515625,35173
2020-12-15,23750.0,24325.0,23722.19921875,24259.650390625,24207.818359375,75628
2020-12-16,24389.0,24488.900390625,24145.69921875,24259.099609375,24207.26953125,53857
2020-12-17,24383.69921875,24899.0,24315.0,24510.400390625,24458.033203125,75262
2020-12-18,24500.0,24732.05078125,24301.80078125,24574.400390625,24521.896484375,106488
2020-12-21,24550.0,24550.0,23249.150390625,23717.5,23666.826171875,55774
2020-12-22,23717.5,24070.25,23389.05078125,23916.69921875,23865.599609375,47637
2020-12-23,23916.69921875,24240.0,23830.900390625,23894.400390625,23843.349609375,30687
2020-12-24,24190.0,24259.94921875,23554.099609375,23826.75,23775.84375,47939
2020-12-28,24000.0,24109.94921875,23571.05078125,23715.55078125,23664.880859375,58822
2020-12-29,23875.0,23906.75,23680.0,23839.650390625,23788.716796875,30966
2020-12-30,23872.30078125,24701.599609375,23750.0,24599.94921875,24547.390625,57743
2020-12-31,24361.0,24533.75,23866.0,24013.19921875,23961.89453125,85988
2021-01-01,24050.0,24276.5,23865.0,23950.30078125,23899.130859375,50972
2021-01-04,24140.0,24225.0,23862.0,24034.19921875,23982.849609375,39942
2021-01-05,24199.0,24199.0,23701.05078125,23895.5,23844.447265625,47363
2021-01-06,24084.0,24947.400390625,23850.0,24824.349609375,24771.3125,73142
2021-01-07,24715.0,25200.0,24659.849609375,25002.150390625,24948.732421875,73979
2021-01-08,24960.0,25979.5,24960.0,25813.400390625,25758.25,76285
2021-01-11,25800.0,25950.0,25400.0,25569.30078125,25514.671875,58276
2021-01-12,25549.0,25890.0,25221.0,25369.099609375,25314.8984375,47467
2021-01-13,25585.0,25600.0,24567.5,24726.400390625,24673.572265625,71497
2021-01-14,24802.0,24913.849609375,24475.0,24855.599609375,24802.494140625,34671
2021-01-15,24720.0,24844.69921875,24212.849609375,24413.80078125,24361.640625,35232
2021-01-18,24400.0,24400.0,23610.0,23846.900390625,23795.951171875,41808
2021-01-19,23801.0,24474.849609375,23789.0,24374.5,24322.423828125,38386
2021-01-20,24470.0,24470.0,23835.650390625,23979.94921875,23928.71484375,48477
2021-01-21,24075.0,24299.80078125,23602.0,23719.0,23668.32421875,51819
2021-01-22,23799.0,24142.0,23612.44921875,23694.30078125,23643.677734375,52209
2021-01-25,24050.0,24050.0,23160.80078125,23255.650390625,23205.96484375,55464
2021-01-27,23270.0,23399.55078125,22745.19921875,22820.19921875,22771.443359375,62620
2021-01-28,22745.0,23189.849609375,22670.650390625,23106.30078125,23056.93359375,41756
2021-01-29,23250.0,23294.55078125,22531.0,22773.349609375,22724.693359375,58005
2021-02-01,23100.0,24690.44921875,22711.94921875,24543.599609375,24491.162109375,112280
2021-02-02,24543.599609375,26650.0,24200.55078125,26432.55078125,26376.076171875,188876
2021-02-03,26400.0,26579.0,25731.05078125,25994.400390625,25938.86328125,110699
2021-02-04,25990.0,27329.25,25607.599609375,27091.0,27033.119140625,135104
2021-02-05,27112.5,27286.94921875,26614.05078125,26722.849609375,26665.755859375,63260
2021-02-08,26907.150390625,28287.5,26750.05078125,28022.19921875,27962.328125,183938
2021-02-09,27360.099609375,28599.099609375,27360.099609375,28165.80078125,28105.623046875,137375
2021-02-10,28245.0,28596.0,27853.05078125,28293.75,28233.298828125,86564
2021-02-11,28268.0,28500.0,28010.25,28344.19921875,28283.640625,54109
2021-02-12,28200.0,28475.0,27800.0,27965.849609375,27906.099609375,57620
2021-02-15,28184.94921875,28840.0,28101.349609375,28653.25,28592.03125,61303
2021-02-16,28653.25,29090.0,28426.099609375,28597.400390625,28536.30078125,70319
2021-02-17,28569.400390625,28840.44921875,28150.05078125,28268.5,28208.103515625,41156
2021-02-18,28580.0,28580.0,27358.599609375,27623.349609375,27564.33203125,63910
2021-02-19,27649.94921875,27857.44921875,26753.349609375,27542.44921875,27483.603515625,50262
2021-02-22,27615.0,27750.0,26927.80078125,27090.849609375,27032.96875,28369
2021-02-23,27165.0,27532.05078125,26770.0,27260.349609375,27202.107421875,46471
2021-02-24,27313.25,27849.94921875,26500.0,27553.0,27494.1328125,17368
2021-02-25,27553.0,27879.900390625,27238.30078125,27450.900390625,27392.25,52154
2021-02-26,27450.900390625,27720.5,26169.900390625,26501.69921875,26445.078125,76766
2021-03-01,26600.5,27832.5,26600.5,27706.94921875,27647.751953125,58805
2021-03-02,27710.0,27800.0,27280.05078125,27658.75,27599.65625,39347
2021-03-03,27755.5,28159.55078125,27550.75,27695.25,27636.078125,40649
